n,a1,a2,a3,a4,a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25
33,0.4156,0.2876,0.2451,0.2137,0.188,0.166,0.1463,0.1284,0.1118,0.0961,0.0812,0.0669,0.053,0.0395,0.0262,0.0131,0,,,,,,,,
34,0.4127,0.2854,0.2439,0.2132,0.1882,0.1667,0.1475,0.1301,0.114,0.0988,0.0844,0.0706,0.0572,0.0441,0.0314,0.0187,0.0062,,,,,,,,
35,0.4096,0.2834,0.2427,0.2127,0.1883,0.1673,0.1487,0.1317,0.116,0.1013,0.0873,0.0739,0.061,0.0484,0.0361,0.0239,0.0119,0,,,,,,,
36,0.4068,0.2813,0.2415,0.2121,0.1883,0.1678,0.1496,0.1331,0.1179,0.1036,0.09,0.077,0.0645,0.0523,0.0404,0.0287,0.0172,0.0057,,,,,,,
37,0.404,0.2794,0.2403,0.2116,0.1883,0.1683,0.1505,0.1344,0.1196,0.1056,0.0924,0.0798,0.0677,0.0559,0.0444,0.0331,0.022,0.011,0,,,,,,
38,0.4015,0.2774,0.2391,0.211,0.1881,0.1686,0.1513,0.1356,0.1211,0.1075,0.0947,0.0824,0.0706,0.0592,0.0481,0.0372,0.0264,0.0158,0.0053,,,,,,
39,0.3989,0.2755,0.238,0.2104,0.188,0.1689,0.152,0.1366,0.1225,0.1092,0.0967,0.0848,0.0733,0.0622,0.0515,0.0409,0.0305,0.0203,0.0101,0,,,,,
40,0.3964,0.2737,0.2368,0.2098,0.1878,0.1691,0.1526,0.1376,0.1237,0.1108,0.0986,0.087,0.0759,0.0651,0.0546,0.0444,0.0343,0.0244,0.0146,0.0049,,,,,
41,0.394,0.2719,0.2357,0.2091,0.1876,0.1693,0.1531,0.1384,0.1249,0.1123,0.1004,0.0891,0.0782,0.0677,0.0575,0.0476,0.0379,0.0283,0.0188,0.0094,0,,,,
42,0.3917,0.2701,0.2345,0.2085,0.1874,0.1694,0.1535,0.1392,0.1259,0.1136,0.102,0.0909,0.0804,0.0701,0.0602,0.0506,0.0411,0.0318,0.0227,0.0136,0.0045,,,,
43,0.3894,0.2684,0.2334,0.2078,0.1871,0.1695,0.1539,0.1398,0.1269,0.1149,0.1035,0.0927,0.0824,0.0724,0.0628,0.0534,0.0442,0.0352,0.0263,0.0175,0.0087,0,,,
44,0.3872,0.2667,0.2323,0.2072,0.1868,0.1695,0.1542,0.1405,0.1278,0.116,0.1049,0.0943,0.0842,0.0745,0.0651,0.056,0.0471,0.0383,0.0296,0.0211,0.0126,0.0042,,,
45,0.385,0.2651,0.2313,0.2065,0.1865,0.1695,0.1545,0.141,0.1286,0.117,0.1062,0.0959,0.086,0.0765,0.0673,0.0584,0.0497,0.0412,0.0328,0.0245,0.0163,0.0081,0,,
46,0.383,0.2635,0.2302,0.2058,0.1862,0.1695,0.1548,0.1415,0.1293,0.118,0.1073,0.0972,0.0876,0.0783,0.0694,0.0607,0.0522,0.0439,0.0357,0.0277,0.0197,0.0118,0.0039,,
47,0.3808,0.262,0.2291,0.2052,0.1859,0.1695,0.155,0.142,0.13,0.1189,0.1085,0.0986,0.0892,0.0801,0.0713,0.0628,0.0546,0.0465,0.0385,0.0307,0.0229,0.0153,0.0076,0,
48,0.3789,0.2604,0.2281,0.2045,0.1855,0.1693,0.1551,0.1423,0.1306,0.1197,0.1095,0.0998,0.0906,0.0817,0.0731,0.0648,0.0568,0.0489,0.0411,0.0335,0.0259,0.0185,0.0111,0.0037,
49,0.377,0.2589,0.2271,0.2038,0.1851,0.1692,0.1553,0.1427,0.1312,0.1205,0.1105,0.101,0.919,0.0832,0.0748,0.0667,0.0588,0.0511,0.0436,0.0361,0.0288,0.0215,0.0143,0.0071,0
50,0.3751,0.2574,0.226,0.2032,0.1847,0.1691,0.1554,0.143,0.1317,0.1212,0.1113,0.102,0.0932,0.0846,0.0764,0.0685,0.0608,0.0532,0.0459,0.0386,0.0314,0.0244,0.0174,0.0104,0.0035
